Age,Estimated Income,Credit Card Balance,Bank Loans,Superannuation Savings,Saving Accounts,Properties Owned,Default_Risk,Debt_to_Income_Ratio,Savings_to_Debt_Ratio
24,75384.77,484.54,776242.92,17677.95,607332.46,1,0,10.303506397910347,0.8046704121025768
23,289834.31,2256.88,1270615.43,17398.92,344635.16,1,1,4.391724050889627,0.28442271289355575
27,169935.23,4568.74,1052715.84,42825.9,203054.35,1,1,6.221691523293904,0.23255802845622844
40,356808.11,4205.0,121195.06,5473.15,234685.02,0,1,0.3514495788786864,1.9151207334292069
46,130711.68,3779.49,1048301.95,48077.6,128351.45,0,1,8.048870919568932,0.167695081005249
23,118326.96,5148.56,601902.5,6028.2,238310.37,1,0,5.1302852705757,0.40250019084030453
46,57336.47,959.9,208909.69,13929.16,24639.33,1,0,3.660315851324645,0.1837727239438361
78,65125.8,4576.58,1140704.8,31077.8,46813.78,0,0,17.585678486866957,0.06801080795462862
67,87849.47,78.62,803444.46,9385.35,279528.12,0,0,9.146589956661092,0.35955794877982994
51,65369.36,4836.86,60027.9,27364.8,115869.39,2,0,0.9922807872067281,2.2081632898466
55,74966.51,493.32,214327.82,16928.73,52204.92,3,0,2.8655614353662724,0.32181808634808307
73,111449.06,392.59,580468.51,17480.19,513425.24,0,0,5.2118977046553825,0.913995645438048
45,115637.19,5055.31,815250.64,10848.6,138738.22,3,0,7.093790068748644,0.1823546905216395
44,124434.78,5211.37,984792.5,26146.0,174051.32,0,0,7.956006110188808,0.2022185203998037
36,260795.34,2866.34,310876.62,11584.68,67077.02,1,0,1.203023642983805,0.2507194082716365
55,78892.52,4882.13,1510860.64,32369.71,71284.16,3,0,19.212756418479213,0.06838482337948189
61,257120.22,8614.06,436988.44,16263.99,253337.83,1,1,1.7330511773830934,0.6050262621366305
56,145704.55,1895.06,384153.37,3078.27,64095.37,3,0,2.6495289954912185,0.17400269183145795
43,34404.16,5384.7,1102836.16,19668.4,35877.82,3,0,32.21182729065322,0.05012193136128898
63,129060.88,395.58,1000409.32,17283.63,396819.54,2,1,7.754517867846554,0.41376971298830273
41,129981.31,2383.86,373846.69,10242.84,25028.43,2,0,2.8944972934955033,0.09374883632167479
58,123545.42,2789.44,1400623.12,2984.52,42985.73,3,0,11.359486737751995,0.032756025244618556
26,308182.93,4458.61,649331.84,64332.66,133711.12,0,1,2.1214362846118697,0.302915830422683
21,122579.41,4959.36,963017.56,10312.54,676745.8987499999,1,0,7.896733391031985,0.7097873046009148
41,30942.07,3338.64,276532.77,4469.98,22381.69,0,0,9.045012502395608,0.09594254038831479
36,50651.56,509.21,278071.37,8097.25,153748.94,3,0,5.499940771814334,0.5809651521109185
34,481365.87,9451.63625,1469913.23,69381.0,676745.8987499999,0,1,3.0732649704683053,0.5043558971935284
52,87019.73,1253.68,273944.56,11316.5,73580.86,1,0,3.1624809683964776,0.30849416589958606
78,246615.84,5835.26,622181.88,35332.0,308192.24,0,1,2.546540157355667,0.5469973208098734
34,130023.36,219.19,366887.14,15464.38,271999.84,0,0,2.8233875051375383,0.7830522479624692
75,82703.81,8521.8,842201.38,8635.67,424345.83,3,1,10.286384387853476,0.508956381138714
47,137256.09,1050.56,1035297.66,18322.92,471515.9,0,0,7.550471676703016,0.4726580679049481
34,224640.75,3550.74,1091959.45,57090.72,127330.83,1,1,4.87672067512239,0.16834291761091003
79,147292.91,4097.62,105266.65,24297.42,70287.24,3,0,0.7424951411442682,0.8648509714281326
73,263248.97,7069.16,693956.23,47651.76,235234.17,3,1,2.6629748636813284,0.4035310710628169
80,193690.93,3610.42,50809.39,11655.54,174627.4,2,0,0.28096209770896347,3.423009323087988
73,91243.05,6660.85,122158.61,37750.72,676745.8987499999,2,1,1.4118276405709804,5.546452937289619
51,162807.39,811.96,709300.71,69891.1875,274495.08,2,1,4.361673447378524,0.48497343742164556
49,193729.94,2062.15,66053.91,44815.46,534461.09,2,1,0.35160316469410974,8.50413317897161
81,131497.09,3127.86,57219.9,15962.66,506302.25,0,0,0.45892848275197573,8.654111700058127
27,319205.91,9.55,0.0,49416.0,135307.81,3,1,2.9917992433160156e-05,17509.36587677725
56,44088.51,2795.52,1485747.33,32418.88,55588.56,1,0,33.76260277337565,0.059123175981681694
33,420683.66,1011.56,820479.9,24472.55,676745.8987499999,1,1,1.9527534299763394,0.8535908518868206
79,32062.52,1612.82,231528.63,19653.48,109748.51,0,0,7.271463690315048,0.5550340146120966
56,92487.65,2199.18,560657.25,23690.51,134675.95,2,0,6.085746907830398,0.2813615874272105
55,130572.51,3225.23,120782.42,49441.92,264528.29,0,0,0.949722495186774,2.5318412062384357
77,54753.75,1408.34,80386.11,5311.0,4470.98,1,0,1.49386023788325,0.11959075963271795
49,180214.79,587.71,791256.59,9226.35,676745.8987499999,2,0,4.393891866477773,0.8662957887733879
67,52826.78,2617.61,385480.43,26160.46,86634.71,2,0,7.346615485554864,0.29063501419637633
66,43622.88,229.9,39047.14,19416.4,223391.32,0,0,0.9003770498417345,6.181767725680813
64,142841.26,3431.39,508939.36,5405.0,171867.52,0,0,3.586994051998701,0.3459841804314933
49,90437.66,2830.36,573366.17,12737.4,80786.52,2,0,6.371201223030317,0.16231225427155163
65,32301.47,1751.42,310657.96,5597.4,14035.2,1,0,9.671676861765114,0.06284234217825925
32,293419.07,4496.63,1705090.3875000002,16443.25,281227.25,2,1,5.82643458552302,0.1741182653089109
29,55011.84,3955.06,479936.38,14206.2,299657.72,3,0,8.796132614360836,0.6486233180249726
31,77971.46,856.21,478157.92,7820.4,25358.66,0,0,6.143454669182801,0.06926516078938884
22,84111.51,156.67,304608.18,18940.38,84900.78,3,0,3.6233429883734103,0.34072439546622435
58,98369.29,1441.89,213195.07,3050.25,198629.79,3,0,2.1819508913808368,0.9396289454111472
75,243490.73,5578.34,1045569.03,63872.76,382765.89,1,1,4.316991328581585,0.4249054298585841
18,72431.34,5303.5,1210753.08,34975.16,29765.93,0,0,16.789094057903664,0.05323850701214329
47,456003.99,7969.46,1248952.37,25171.2,237200.27,2,1,2.7563834035750436,0.20874111261070813
41,71422.04,4253.34,315175.42,32993.52,7799.74,2,0,4.4724115973164595,0.12770651050171403
36,39077.38,1305.38,1187138.91,14707.68,242934.97,0,0,30.412588817366974,0.21678965970743175
84,274099.12,2461.94,563101.95,26051.76,0.0,3,0,2.0633553657523596,0.04606325544713358
26,260826.75,270.6,804359.98,53468.1,106261.85,0,1,3.084923536408746,0.19851315057756
74,334331.81,1029.3,164253.29,18591.75,396615.01,1,1,0.49436692847144875,2.5120870135988698
47,61398.26,550.75,360003.87,20668.94,109324.94,2,0,5.872391497739512,0.3605376612906492
82,63246.3,2914.18,448652.7,18575.7,93209.87,0,0,7.139814977318831,0.24754987002175619
25,158091.86,1080.03,207662.76,33824.44,70553.15,0,0,1.3203892344615342,0.5000272822487317
44,131729.85,6215.34,863722.1,6664.06,166059.8,2,0,6.603950737057697,0.19854722134131697
38,116926.94,3828.2,1049088.92,18431.28,58413.66,1,0,9.00491469288429,0.07298282605298882
74,148224.72,27.81,302048.92,27518.0,52337.66,3,0,2.0379645851245325,0.26435467454022515
35,348248.56,3435.36,1369215.65,65026.0,169226.54,0,1,3.941584166205885,0.17065690232734224
74,19637.78,78.14,24331.27,9527.23,40993.86,0,0,1.2429821497134605,2.069653479806361
62,150304.49,767.06,523866.09,7326.44,224185.92,1,0,3.4904689141355663,0.4412834353234535
23,52109.13,209.68,205552.05,14277.05,88665.16,1,0,3.948669455813213,0.5002957046691595
68,156091.75,382.87,707577.9,20609.04,252896.89,2,0,4.535542525469796,0.3863286713913945
